Unnamed: 0,LOS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Crewchange,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Ark,Crew Change,Unnamed: 1
Fakt.,Løpe-nummer,Dato,Order-Nr.,"TechLog
Nr.",Ship,Sign,KUN FRA LISTE              Sted/Type,,Landinger MONG                  STURE                    KÅRSTØ   ,LOS,KUN RIGG - Rotor Rønnings Tid (min),PAX,SHIP LANDING,Skriv 1 vis tåke/ bomtur. SHIP,Landinger ENFJ,HOIST,"Crew
Change",Total flight distance nm,Heli deck idle time,Total repositioning (to other airports) Flight time,Kommentar:,2017,,
ja,67,2017-07-18 00:00:00,,,NORDIC APOLLO,MÆL,Sture,,,1,,,,,,1,,,,,BÅT TIL BÅT,2017,,
ja,68,2017-07-19 00:00:00,,,EAGLE BARENTS,HUS,Crew Change,,,,,8,1,,,,1,32,10,,ENHF-EAGLE BARENTS-ENHF 4PAX UT / 4 PAX INN,2017,,
ja,69,2017-07-19 00:00:00,,,NORDIC APOLLO,FRØ,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,70,2017-07-20 00:00:00,,,SOLA TS,FRØ,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,71,2017-07-20 00:00:00,,,MARATON TS,MÆL,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,72,2017-07-21 00:00:00,,,ADVANTAGE ARROW,FRØ,Kårstø,,,1,,,,,,1,,,,,,2017,,
ja,73,2017-07-21 00:00:00,,,THIALF,FRØ,Los øvrig,,,1,,,1,,,,,,,,"SKIPET SKAL TIL ÅMØYFJORDEN, MEN LOSPUNKTET ER DET SAMME SOM KÅRSTØ.",2017,,
ja,74,2017-07-21 00:00:00,,,SOLA TS,FRØ,Mongstad,,,1,,,,,2,1,,,,,,2017,,
ja,75,2017-07-21 00:00:00,,,MATTERHORN SPIRIT,MÆL,Sture,,,1,,,,,2,1,,,,,Venter Fedje til neste båt,2017,,
ja,76,2017-07-22 00:00:00,,,MARATHON TS,MÆL,Mongstad,,,1,,,,,,1,,,,,,2017,,
ja,77,2017-07-22 00:00:00,,,ARCTIC DISCOVERER,HUS,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,78,2017-07-22 00:00:00,,,ARIADNE ,MÆL,Mongstad,,,1,,,,,,1,,,,,,2017,,
ja,79,2017-07-22 00:00:00,,,PHANTENON TS,BRÆ,Mongstad,,,1,,,,,1,1,,,,,,2017,,
x,80,2017-07-22 00:00:00,,,TRANSOCEAN BARENTS ,FRØ,Los øvrig,,,,,,,,,,,,,,VED GRIP/KRISTIANSUND. KANSELLERT PGA TÅKE. DEI KANSELLERTE SJØLV.,2017,,
ja,81,2017-07-22 00:00:00,,,MATTERHORN SPIRIT,FRØ,Sture,,,1,,,,,,1,,,,,BÅT TIL BÅT,2017,,
ja,82,2017-07-22 00:00:00,,,DUBAI BEAUTY,FRØ,Mongstad,,,1,,,,,,1,,,,,BÅT TIL BÅT,2017,,
ja,83,2017-07-23 00:00:00,,,ARCTIC DISCOVERER,HUS,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,84,2017-07-23 00:00:00,,,SANSOVINO,FRØ,Kårstø,,,1,,,,,,1,,,,,,2017,,
ja,85,2017-07-23 00:00:00,,,BW ARIES,FRØ,Kårstø,,,1,,,,,,1,,,,,,2017,,
x,86,2017-07-23 00:00:00,,,DUBAI BEAUTY,FRØ,Sture,,,,,,,,,,,,,,MISTET PGA HAVTÅKE.,2017,,
ja,87,2017-07-24 00:00:00,,,OSLO TS,FRØ,Kårstø,,,1,,,,,,1,,,,,,2017,,
ja,88,2017-07-24 00:00:00,,,MAERSK PROSPER,FRØ,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,89,2017-07-24 00:00:00,,,BW ARIES,FRØ,Kårstø,,,1,,,,,,1,,,,,,2017,,
ja,90,2017-07-25 00:00:00,,,THIALF,FRØ,Los øvrig,,,1,,,1,,1,,,,,,ÅMØYFJORDEN. SAMME LOSPUNKT SOM KÅRSTØ. LOS SATT AV PÅ SOLA.,2017,,
ja,91,2017-07-25 00:00:00,,,MOSCOWSKY PROSPECT,FRØ,Sture,,M,1,,,,,1,1,,,,,,2017,,
ja,92,2017-07-25 00:00:00,,,ARIADNE ,FRØ,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,93,2017-07-25 00:00:00,,,PHARTENON TS,FRØ,Mongstad,,,1,,,,,1,1,,,,,SATTE LOS AV PÅ MV KNOKKE. MEDFØRTE INGEN EKSTRA TID.,2017,,
ja,94,2017-07-25 00:00:00,,,NORDIC ANNE,FRØ,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,95,2017-07-26 00:00:00,,,MOSCOWSKY PROSPECT,VLO,Sture,,,1,,,,,,1,,,,,BÅT TIL BÅT,2017,,
ja,96,2017-07-26 00:00:00,,,SOLVIKEN,VLO,Mongstad,,,1,,,,,,1,,,,,BÅT TIL BÅT,2017,,
ja,97,2017-07-26 00:00:00,,,MAERSK PROSPER,SBR,Sture,,,1,,,,,,1,,,,,BÅT TIL BÅT,2017,,
